classAbbr,studentId,semester,grade
"ATW",457598690.0,"1105",63.0
"SMS",457598690.0,"1107",76.0
"ASL",457598690.0,"1407",83.0
"PWA1",457598690.0,"1202",84.0
"ADT",457598690.0,"1402",77.0
"ATW",457598690.0,"1002",92.0
"PWA2",213957376.0,"1406",86.0
"PWA1",213957376.0,"1210",77.0
"PWA2",213957376.0,"1402",73.0
"SMS",213957376.0,"1404",61.0
"DBS",213957376.0,"1005",88.0
"SSL",506689223.0,"1012",74.0
"PWA2",506689223.0,"1106",93.0
"ADB",506689223.0,"1210",91.0
"SSL",506689223.0,"1210",79.0
"DBS",506689223.0,"1003",66.0
"WPP",506689223.0,"1202",67.0
"DBS",284418026.0,"1301",84.0
"SSL",284418026.0,"1101",74.0
"WPP",284418026.0,"1107",80.0
"SSL",284418026.0,"1105",77.0
"PWA2",284418026.0,"1006",86.0
"ASL",284418026.0,"1411",66.0
"ATW",131645115.0,"1209",66.0
"ADT",131645115.0,"1205",72.0
"PWA2",131645115.0,"1408",98.0
"ADT",131645115.0,"1003",74.0
"ASL",131645115.0,"1303",100.0
"ASL",131645115.0,"1303",71.0
"DBS",837479651.0,"1102",87.0
"ADB",837479651.0,"1109",95.0
"SSL",837479651.0,"1407",83.0
"SMS",837479651.0,"1402",65.0
"SSL",837479651.0,"1002",79.0
"PWA1",837479651.0,"1201",100.0
"DBS",178230858.0,"1005",70.0
"ADT",178230858.0,"1201",85.0
"SMS",178230858.0,"1301",95.0
"DBS",178230858.0,"1411",72.0
"ADT",178230858.0,"1207",68.0
"PWA1",178230858.0,"1309",86.0
"PWA2",258065830.0,"1403",69.0
"SSL",258065830.0,"1404",60.0
"ATW",258065830.0,"1205",91.0
"ADB",258065830.0,"1005",75.0
"ADB",258065830.0,"1010",95.0
"ATW",258065830.0,"1004",80.0
"PWA1",519180675.0,"1004",65.0
"SSL",519180675.0,"1004",86.0
"WPP",519180675.0,"1207",69.0
"PWA2",519180675.0,"1207",74.0
"ATW",519180675.0,"1112",99.0
"ASL",519180675.0,"1112",93.0
"DBS",847682422.0,"1404",63.0
"SSL",847682422.0,"1407",77.0
"PWA2",847682422.0,"1302",69.0
"DBS",847682422.0,"1407",79.0
"SSL",847682422.0,"1304",99.0
"ATW",847682422.0,"1311",81.0
"PWA2",873663744.0,"1012",94.0
"SMS",873663744.0,"1009",93.0
"DBS",873663744.0,"1303",77.0
"PWA1",873663744.0,"1308",100.0
"DBS",873663744.0,"1412",83.0
"PWA1",873663744.0,"1212",64.0
"WPP",914805389.0,"1105",93.0
"ADB",914805389.0,"1009",60.0
"ASL",914805389.0,"1212",67.0
